商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
勤美,1532.TW,7,2015/01/21,買進,32.7,2015/04/27,賣出,31.6,60,-0.039433,最大持有 60 期
喬山,1736.TW,5,2015/01/21,買進,72.9,2015/04/27,賣出,81.3,60,0.108536,最大持有 60 期
東和鋼鐵,2006.TW,1,2015/01/21,買進,23.95,2015/04/27,賣出,24.1,60,0.000235,最大持有 60 期
盟立,2464.TW,4,2015/01/21,買進,28,2015/04/27,賣出,29.9,60,0.061454,最大持有 60 期
華固,2548.TW,2,2015/01/21,買進,60,2015/04/27,賣出,69,60,0.143093,最大持有 60 期
三聯,5493.TW,3,2015/01/21,買進,29.25,2015/04/27,賣出,31.9,60,0.084059,最大持有 60 期
豐藝,6189.TW,5,2015/01/21,買進,36.2,2015/04/27,賣出,39.05,60,0.072276,最大持有 60 期
大世科,8099.TW,3,2015/01/21,買進,23,2015/04/27,賣出,23.75,60,0.026402,最大持有 60 期
喬山,1736.TW,6,2015/01/22,買進,72.7,2015/04/28,賣出,81,60,0.107493,最大持有 60 期
盛餘,2029.TW,1,2015/01/22,買進,20.55,2015/04/28,賣出,21.8,60,0.054449,最大持有 60 期
台灣大,3045.TW,7,2015/01/22,買進,106.5,2015/04/28,賣出,109,60,0.017385,最大持有 60 期
聚積,3527.TW,4,2015/01/22,買進,68.5,2015/04/28,賣出,63.8,60,-0.074239,最大持有 60 期
崇越,5434.TW,4,2015/01/22,買進,56.8,2015/04/28,賣出,63.1,60,0.104254,最大持有 60 期
豐藝,6189.TW,6,2015/01/22,買進,36.3,2015/04/28,賣出,39,60,0.067944,最大持有 60 期
勤美,1532.TW,8,2015/01/23,買進,33.2,2015/04/29,賣出,31.85,60,-0.046423,最大持有 60 期
喬山,1736.TW,7,2015/01/23,買進,73,2015/04/29,賣出,80.2,60,0.092053,最大持有 60 期
盟立,2464.TW,5,2015/01/23,買進,28.55,2015/04/29,賣出,30,60,0.044493,最大持有 60 期
華固,2548.TW,3,2015/01/23,買進,60.8,2015/04/29,賣出,70.2,60,0.14763,最大持有 60 期
神基,3005.TW,3,2015/01/23,買進,19.3,2015/04/29,賣出,18.7,60,-0.036931,最大持有 60 期
台灣大,3045.TW,8,2015/01/23,買進,108,2015/04/29,賣出,108.5,60,-0.001389,最大持有 60 期
崇越,5434.TW,5,2015/01/23,買進,56.8,2015/04/29,賣出,62.4,60,0.092021,最大持有 60 期
