商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
盟立,2464.TW,4,2015/01/21,買進,28,2015/04/27,賣出,29.9,60,0.061454,最大持有 60 期
智易,3596.TW,5,2015/01/21,買進,44.8,2015/04/27,賣出,43.65,60,-0.031527,最大持有 60 期
三聯,5493.TW,3,2015/01/21,買進,29.25,2015/04/27,賣出,31.9,60,0.084059,最大持有 60 期
豐藝,6189.TW,5,2015/01/21,買進,36.2,2015/04/27,賣出,39.05,60,0.072276,最大持有 60 期
尼得科超眾,6230.TW,1,2015/01/21,買進,87.9,2015/04/27,賣出,93.3,60,0.055067,最大持有 60 期
良維,6290.TW,8,2015/01/21,買進,35.4,2015/04/27,賣出,29.9,60,-0.160417,最大持有 60 期
寶成,9904.TW,8,2015/01/21,買進,42,2015/04/27,賣出,44.3,60,0.048443,最大持有 60 期
永裕,1323.TW,5,2015/01/22,買進,37.2,2015/04/28,賣出,36.5,60,-0.024641,最大持有 60 期
南僑,1702.TW,2,2015/01/22,買進,58,2015/04/28,賣出,68.8,60,0.179063,最大持有 60 期
建準,2421.TW,6,2015/01/22,買進,21.1,2015/04/28,賣出,21.75,60,0.024666,最大持有 60 期
聚積,3527.TW,4,2015/01/22,買進,68.5,2015/04/28,賣出,63.8,60,-0.074239,最大持有 60 期
智易,3596.TW,6,2015/01/22,買進,44.6,2015/04/28,賣出,43.2,60,-0.03718,最大持有 60 期
崇越,5434.TW,4,2015/01/22,買進,56.8,2015/04/28,賣出,63.1,60,0.104254,最大持有 60 期
豐藝,6189.TW,6,2015/01/22,買進,36.3,2015/04/28,賣出,39,60,0.067944,最大持有 60 期
良維,6290.TW,9,2015/01/22,買進,35.8,2015/04/28,賣出,29.95,60,-0.168473,最大持有 60 期
勤誠,8210.TW,6,2015/01/22,買進,57,2015/04/28,賣出,50.7,60,-0.115869,最大持有 60 期
寶成,9904.TW,9,2015/01/22,買進,42.1,2015/04/28,賣出,43.9,60,0.036501,最大持有 60 期
永裕,1323.TW,6,2015/01/23,買進,38.05,2015/04/29,賣出,36.35,60,-0.050451,最大持有 60 期
利奇,1517.TW,4,2015/01/23,買進,15.1,2015/04/29,賣出,15.05,60,-0.009282,最大持有 60 期
勤美,1532.TW,8,2015/01/23,買進,33.2,2015/04/29,賣出,31.85,60,-0.046423,最大持有 60 期
南僑,1702.TW,3,2015/01/23,買進,58,2015/04/29,賣出,69,60,0.182491,最大持有 60 期
建準,2421.TW,7,2015/01/23,買進,21.6,2015/04/29,賣出,21.4,60,-0.015272,最大持有 60 期
可成,2474.TW,1,2015/01/23,買進,278,2015/04/29,賣出,350,60,0.251504,最大持有 60 期
聯邦銀,2838.TW,4,2015/01/23,買進,10.5,2015/04/29,賣出,11,60,0.041358,最大持有 60 期
三商,2905.TW,6,2015/01/23,買進,20.4,2015/04/29,賣出,20.75,60,0.011048,最大持有 60 期
遠見,3040.TW,1,2015/01/23,買進,44,2015/04/29,賣出,44.75,60,0.010952,最大持有 60 期
智易,3596.TW,7,2015/01/23,買進,45,2015/04/29,賣出,42.65,60,-0.057945,最大持有 60 期
崇越,5434.TW,5,2015/01/23,買進,56.8,2015/04/29,賣出,62.4,60,0.092021,最大持有 60 期
豐藝,6189.TW,7,2015/01/23,買進,36.4,2015/04/29,賣出,38.75,60,0.058165,最大持有 60 期
居易,6216.TW,5,2015/01/23,買進,26.7,2015/04/29,賣出,31.75,60,0.181967,最大持有 60 期
尼得科超眾,6230.TW,2,2015/01/23,買進,88.5,2015/04/29,賣出,90.8,60,0.019796,最大持有 60 期
台郡,6269.TW,4,2015/01/23,買進,73.6,2015/04/29,賣出,108.5,60,0.465377,最大持有 60 期
勤誠,8210.TW,7,2015/01/23,買進,57.8,2015/04/29,賣出,50.5,60,-0.13151,最大持有 60 期
寶成,9904.TW,10,2015/01/23,買進,42.4,2015/04/29,賣出,43.05,60,0.009254,最大持有 60 期
永裕,1323.TW,7,2015/01/26,買進,37.5,2015/04/30,賣出,36.3,60,-0.037823,最大持有 60 期
利奇,1517.TW,5,2015/01/26,買進,15.1,2015/04/30,賣出,15,60,-0.012574,最大持有 60 期
亞崴,1530.TW,1,2015/01/26,買進,41,2015/04/30,賣出,45.85,60,0.111564,最大持有 60 期
勤美,1532.TW,9,2015/01/26,買進,33.1,2015/04/30,賣出,32,60,-0.039082,最大持有 60 期
南僑,1702.TW,4,2015/01/26,買進,57.7,2015/04/30,賣出,68.2,60,0.174857,最大持有 60 期
建準,2421.TW,8,2015/01/26,買進,21,2015/04/30,賣出,21.75,60,0.029487,最大持有 60 期
可成,2474.TW,2,2015/01/26,買進,281.5,2015/04/30,賣出,360,60,0.271167,最大持有 60 期
新興,2605.TW,7,2015/01/26,買進,26.3,2015/04/30,賣出,24.4,60,-0.077828,最大持有 60 期
台產,2832.TW,2,2015/01/26,買進,22.35,2015/04/30,賣出,24.15,60,0.074063,最大持有 60 期
聯邦銀,2838.TW,5,2015/01/26,買進,10.55,2015/04/30,賣出,11,60,0.036393,最大持有 60 期
三商,2905.TW,7,2015/01/26,買進,20.35,2015/04/30,賣出,21.35,60,0.042824,最大持有 60 期
遠見,3040.TW,2,2015/01/26,買進,44,2015/04/30,賣出,44.45,60,0.004236,最大持有 60 期
國眾,5410.TW,7,2015/01/26,買進,12.6,2015/04/30,賣出,13.2,60,0.04133,最大持有 60 期
崇越,5434.TW,6,2015/01/26,買進,57,2015/04/30,賣出,62.9,60,0.096886,最大持有 60 期
居易,6216.TW,6,2015/01/26,買進,26.25,2015/04/30,賣出,31.95,60,0.209837,最大持有 60 期
普萊德,6263.TW,7,2015/01/26,買進,46.8,2015/04/30,賣出,55.4,60,0.176691,最大持有 60 期
台郡,6269.TW,5,2015/01/26,買進,73.5,2015/04/30,賣出,109,60,0.474243,最大持有 60 期
勤誠,8210.TW,8,2015/01/26,買進,58.5,2015/04/30,賣出,49.5,60,-0.158946,最大持有 60 期
寶成,9904.TW,11,2015/01/26,買進,42.5,2015/04/30,賣出,43.05,60,0.006777,最大持有 60 期
永裕,1323.TW,8,2015/01/27,買進,37.45,2015/05/04,賣出,36.05,60,-0.043177,最大持有 60 期
利奇,1517.TW,6,2015/01/27,買進,15.15,2015/05/04,賣出,14.9,60,-0.022423,最大持有 60 期
可成,2474.TW,3,2015/01/27,買進,282.5,2015/05/04,賣出,350,60,0.231462,最大持有 60 期
台產,2832.TW,3,2015/01/27,買進,22.4,2015/05/04,賣出,24,60,0.065024,最大持有 60 期
聯邦銀,2838.TW,6,2015/01/27,買進,10.55,2015/05/04,賣出,11.1,60,0.045814,最大持有 60 期
遠見,3040.TW,3,2015/01/27,買進,45.35,2015/05/04,賣出,43.6,60,-0.044259,最大持有 60 期
國眾,5410.TW,8,2015/01/27,買進,12.6,2015/05/04,賣出,13.1,60,0.033466,最大持有 60 期
崇越,5434.TW,7,2015/01/27,買進,56.6,2015/05/04,賣出,62.9,60,0.104655,最大持有 60 期
台郡,6269.TW,6,2015/01/27,買進,76.9,2015/05/04,賣出,108.5,60,0.402409,最大持有 60 期
勤誠,8210.TW,9,2015/01/27,買進,57.8,2015/05/04,賣出,48.5,60,-0.165949,最大持有 60 期
大成,1210.TW,1,2015/01/28,買進,27.4,2015/05/05,賣出,24.85,60,-0.098446,最大持有 60 期
可成,2474.TW,4,2015/01/28,買進,281,2015/05/05,賣出,353,60,0.248741,最大持有 60 期
聯邦銀,2838.TW,7,2015/01/28,買進,10.5,2015/05/05,賣出,11,60,0.041358,最大持有 60 期
遠見,3040.TW,4,2015/01/28,買進,47,2015/05/05,賣出,43.45,60,-0.081106,最大持有 60 期
國眾,5410.TW,9,2015/01/28,買進,12.6,2015/05/05,賣出,13.05,60,0.029497,最大持有 60 期
遠雄,5522.TW,1,2015/01/28,買進,37.35,2015/05/05,賣出,37.25,60,-0.008652,最大持有 60 期
居易,6216.TW,7,2015/01/28,買進,26.3,2015/05/05,賣出,32.7,60,0.235939,最大持有 60 期
台郡,6269.TW,7,2015/01/28,買進,75.5,2015/05/05,賣出,108.5,60,0.428499,最大持有 60 期
寶成,9904.TW,12,2015/01/28,買進,42.3,2015/05/05,賣出,42.8,60,0.005808,最大持有 60 期
大成,1210.TW,2,2015/01/29,買進,28.15,2015/05/06,賣出,24.85,60,-0.122527,最大持有 60 期
利奇,1517.TW,7,2015/01/29,買進,15.15,2015/05/06,賣出,14.8,60,-0.028965,最大持有 60 期
可成,2474.TW,5,2015/01/29,買進,284,2015/05/06,賣出,350,60,0.224918,最大持有 60 期
新興,2605.TW,8,2015/01/29,買進,26.2,2015/05/06,賣出,24.3,60,-0.078092,最大持有 60 期
聯邦銀,2838.TW,8,2015/01/29,買進,10.5,2015/05/06,賣出,11,60,0.041328,最大持有 60 期
遠見,3040.TW,5,2015/01/29,買進,46.4,2015/05/06,賣出,43.05,60,-0.077742,最大持有 60 期
崇越,5434.TW,8,2015/01/29,買進,56.8,2015/05/06,賣出,62.2,60,0.088538,最大持有 60 期
德昌,5511.TW,1,2015/01/29,買進,27.3,2015/05/06,賣出,28.15,60,0.024941,最大持有 60 期
豐藝,6189.TW,8,2015/01/29,買進,36.3,2015/05/06,賣出,38.75,60,0.061098,最大持有 60 期
居易,6216.TW,8,2015/01/29,買進,26.6,2015/05/06,賣出,32.25,60,0.205129,最大持有 60 期
尼得科超眾,6230.TW,3,2015/01/29,買進,89.4,2015/05/06,賣出,92.5,60,0.028498,最大持有 60 期
台郡,6269.TW,8,2015/01/29,買進,76.1,2015/05/06,賣出,109.5,60,0.430236,最大持有 60 期
宏正,6277.TW,3,2015/01/29,買進,84.4,2015/05/06,賣出,90.2,60,0.062275,最大持有 60 期
寶成,9904.TW,13,2015/01/29,買進,43,2015/05/06,賣出,43,60,-0.006026,最大持有 60 期
大成,1210.TW,3,2015/01/30,買進,28.3,2015/05/07,賣出,24.35,60,-0.144763,最大持有 60 期
利奇,1517.TW,8,2015/01/30,買進,15.1,2015/05/07,賣出,14.8,60,-0.025749,最大持有 60 期
台產,2832.TW,4,2015/01/30,買進,22.45,2015/05/07,賣出,23.75,60,0.051576,最大持有 60 期
遠見,3040.TW,6,2015/01/30,買進,46.65,2015/05/07,賣出,43.7,60,-0.068917,最大持有 60 期
國眾,5410.TW,10,2015/01/30,買進,12.7,2015/05/07,賣出,13.05,60,0.021366,最大持有 60 期
崇越,5434.TW,9,2015/01/30,買進,57.3,2015/05/07,賣出,61.9,60,0.073785,最大持有 60 期
德昌,5511.TW,2,2015/01/30,買進,27.45,2015/05/07,賣出,27.9,60,0.010299,最大持有 60 期
遠雄,5522.TW,2,2015/01/30,買進,37.7,2015/05/07,賣出,37.2,60,-0.01923,最大持有 60 期
尼得科超眾,6230.TW,4,2015/01/30,買進,90.1,2015/05/07,賣出,93.5,60,0.031515,最大持有 60 期
台郡,6269.TW,9,2015/01/30,買進,75.8,2015/05/07,賣出,111,60,0.455584,最大持有 60 期
宏正,6277.TW,4,2015/01/30,買進,83.5,2015/05/07,賣出,90.3,60,0.074943,最大持有 60 期
寶成,9904.TW,14,2015/01/30,買進,43.1,2015/05/07,賣出,44.2,60,0.019389,最大持有 60 期
大成,1210.TW,4,2015/02/02,買進,28,2015/05/08,賣出,24.25,60,-0.13916,最大持有 60 期
