商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
大世科,8099.TW,4,2015/01/15,買進,23.3,2015/04/21,賣出,24.1,60,0.028158,最大持有 60 期
勤美,1532.TW,5,2015/01/16,買進,32.65,2015/04/22,賣出,31.2,60,-0.050122,最大持有 60 期
五鼎,1733.TW,4,2015/01/16,買進,54.5,2015/04/22,賣出,54.2,60,-0.011496,最大持有 60 期
友訊,2332.TW,5,2015/01/16,買進,18.3,2015/04/22,賣出,16.3,60,-0.114655,最大持有 60 期
盟立,2464.TW,5,2015/01/16,買進,28.1,2015/04/22,賣出,29.75,60,0.052359,最大持有 60 期
皇翔,2545.TW,5,2015/01/16,買進,45.2,2015/04/22,賣出,42,60,-0.076446,最大持有 60 期
華固,2548.TW,5,2015/01/16,買進,60.2,2015/04/22,賣出,67,60,0.106261,最大持有 60 期
台灣大,3045.TW,9,2015/01/16,買進,105,2015/04/22,賣出,106.5,60,0.008293,最大持有 60 期
矽瑪,3511.TW,3,2015/01/16,買進,19.6,2015/04/22,賣出,17.85,60,-0.094742,最大持有 60 期
聚積,3527.TW,3,2015/01/16,買進,70.2,2015/04/22,賣出,63.9,60,-0.095285,最大持有 60 期
同亨,5490.TW,5,2015/01/16,買進,58.9,2015/04/22,賣出,72.7,60,0.226863,最大持有 60 期
普萊德,6263.TW,5,2015/01/16,買進,48.5,2015/04/22,賣出,49.9,60,0.022647,最大持有 60 期
宏正,6277.TW,3,2015/01/16,買進,82.7,2015/04/22,賣出,90.3,60,0.085341,最大持有 60 期
大世科,8099.TW,5,2015/01/16,買進,23.35,2015/04/22,賣出,23.9,60,0.017349,最大持有 60 期
勤美,1532.TW,6,2015/01/19,買進,33,2015/04/23,賣出,31.1,60,-0.063239,最大持有 60 期
五鼎,1733.TW,5,2015/01/19,買進,54,2015/04/23,賣出,54,60,-0.006002,最大持有 60 期
友訊,2332.TW,6,2015/01/19,買進,18.25,2015/04/23,賣出,16.3,60,-0.11226,最大持有 60 期
盟立,2464.TW,6,2015/01/19,買進,28.25,2015/04/23,賣出,29.95,60,0.053797,最大持有 60 期
皇翔,2545.TW,6,2015/01/19,買進,44,2015/04/23,賣出,42,60,-0.051219,最大持有 60 期
華固,2548.TW,6,2015/01/19,買進,60.1,2015/04/23,賣出,67.5,60,0.116337,最大持有 60 期
神基,3005.TW,3,2015/01/19,買進,19.2,2015/04/23,賣出,18.8,60,-0.026786,最大持有 60 期
台灣大,3045.TW,10,2015/01/19,買進,108.5,2015/04/23,賣出,108,60,-0.010585,最大持有 60 期
亞昕,5213.TW,4,2015/01/19,買進,18.1,2015/04/23,賣出,17.95,60,-0.014279,最大持有 60 期
同亨,5490.TW,6,2015/01/19,買進,59.2,2015/04/23,賣出,72.5,60,0.217116,最大持有 60 期
普萊德,6263.TW,6,2015/01/19,買進,48.4,2015/04/23,賣出,53.3,60,0.094493,最大持有 60 期
宏正,6277.TW,4,2015/01/19,買進,82.7,2015/04/23,賣出,91,60,0.093718,最大持有 60 期
大世科,8099.TW,6,2015/01/19,買進,23.2,2015/04/23,賣出,23.9,60,0.023876,最大持有 60 期
裕融,9941.TW,1,2015/01/19,買進,75.7,2015/04/23,賣出,78.6,60,0.032068,最大持有 60 期
勤美,1532.TW,7,2015/01/20,買進,32.7,2015/04/24,賣出,31.25,60,-0.050068,最大持有 60 期
五鼎,1733.TW,6,2015/01/20,買進,54,2015/04/24,賣出,54.3,60,-0.000452,最大持有 60 期
友訊,2332.TW,7,2015/01/20,買進,18.05,2015/04/24,賣出,16.45,60,-0.094095,最大持有 60 期
盟立,2464.TW,7,2015/01/20,買進,28.25,2015/04/24,賣出,29.95,60,0.053803,最大持有 60 期
皇翔,2545.TW,7,2015/01/20,買進,43.3,2015/04/24,賣出,43.4,60,-0.003618,最大持有 60 期
華固,2548.TW,7,2015/01/20,買進,58.5,2015/04/24,賣出,69,60,0.172509,最大持有 60 期
神基,3005.TW,4,2015/01/20,買進,18.75,2015/04/24,賣出,18.6,60,-0.013874,最大持有 60 期
台灣大,3045.TW,11,2015/01/20,買進,106.5,2015/04/24,賣出,109.5,60,0.021995,最大持有 60 期
同亨,5490.TW,7,2015/01/20,買進,56,2015/04/24,賣出,71,60,0.260275,最大持有 60 期
鈞寶,6155.TW,2,2015/01/20,買進,23,2015/04/24,賣出,25.1,60,0.084794,最大持有 60 期
立端,6245.TW,1,2015/01/20,買進,42.7,2015/04/24,賣出,44.8,60,0.043022,最大持有 60 期
普萊德,6263.TW,7,2015/01/20,買進,46.4,2015/04/24,賣出,52.3,60,0.120428,最大持有 60 期
宏正,6277.TW,5,2015/01/20,買進,81.6,2015/04/24,賣出,89.5,60,0.090282,最大持有 60 期
大世科,8099.TW,7,2015/01/20,買進,22.4,2015/04/24,賣出,23.85,60,0.05845,最大持有 60 期
勤美,1532.TW,8,2015/01/21,買進,32.7,2015/04/27,賣出,31.6,60,-0.039433,最大持有 60 期
五鼎,1733.TW,7,2015/01/21,買進,54.5,2015/04/27,賣出,54.7,60,-0.002388,最大持有 60 期
喬山,1736.TW,1,2015/01/21,買進,72.9,2015/04/27,賣出,81.3,60,0.108536,最大持有 60 期
友訊,2332.TW,8,2015/01/21,買進,18.2,2015/04/27,賣出,16.45,60,-0.101576,最大持有 60 期
盟立,2464.TW,8,2015/01/21,買進,28,2015/04/27,賣出,29.9,60,0.061454,最大持有 60 期
皇翔,2545.TW,8,2015/01/21,買進,44.45,2015/04/27,賣出,44.1,60,-0.013845,最大持有 60 期
華固,2548.TW,8,2015/01/21,買進,60,2015/04/27,賣出,69,60,0.143093,最大持有 60 期
神基,3005.TW,5,2015/01/21,買進,19.2,2015/04/27,賣出,18.65,60,-0.034519,最大持有 60 期
台灣大,3045.TW,12,2015/01/21,買進,106,2015/04/27,賣出,109.5,60,0.026887,最大持有 60 期
同亨,5490.TW,8,2015/01/21,買進,57.3,2015/04/27,賣出,72,60,0.248997,最大持有 60 期
普萊德,6263.TW,8,2015/01/21,買進,47,2015/04/27,賣出,52.9,60,0.118796,最大持有 60 期
胡連,6279.TW,3,2015/01/21,買進,112.5,2015/04/27,賣出,152,60,0.34307,最大持有 60 期
大世科,8099.TW,8,2015/01/21,買進,23,2015/04/27,賣出,23.75,60,0.026402,最大持有 60 期
裕融,9941.TW,2,2015/01/21,買進,75.9,2015/04/27,賣出,81.9,60,0.072587,最大持有 60 期
勤美,1532.TW,9,2015/01/22,買進,32.7,2015/04/28,賣出,31.9,60,-0.030274,最大持有 60 期
五鼎,1733.TW,8,2015/01/22,買進,53.6,2015/04/28,賣出,54.2,60,0.005158,最大持有 60 期
友訊,2332.TW,9,2015/01/22,買進,18.25,2015/04/28,賣出,16.5,60,-0.1013,最大持有 60 期
盟立,2464.TW,9,2015/01/22,買進,28,2015/04/28,賣出,29.9,60,0.061499,最大持有 60 期
皇翔,2545.TW,9,2015/01/22,買進,44.05,2015/04/28,賣出,44.3,60,-0.000244,最大持有 60 期
華固,2548.TW,9,2015/01/22,買進,60,2015/04/28,賣出,71.9,60,0.191172,最大持有 60 期
神基,3005.TW,6,2015/01/22,買進,18.9,2015/04/28,賣出,19.05,60,0.001945,最大持有 60 期
台灣大,3045.TW,13,2015/01/22,買進,106.5,2015/04/28,賣出,109,60,0.017385,最大持有 60 期
聚積,3527.TW,4,2015/01/22,買進,68.5,2015/04/28,賣出,63.8,60,-0.074239,最大持有 60 期
同亨,5490.TW,9,2015/01/22,買進,57.3,2015/04/28,賣出,71.8,60,0.245501,最大持有 60 期
普萊德,6263.TW,9,2015/01/22,買進,47.8,2015/04/28,賣出,52,60,0.081258,最大持有 60 期
胡連,6279.TW,4,2015/01/22,買進,113.5,2015/04/28,賣出,149.5,60,0.309324,最大持有 60 期
勤美,1532.TW,10,2015/01/23,買進,33.2,2015/04/29,賣出,31.85,60,-0.046423,最大持有 60 期
中華化,1727.TW,3,2015/01/23,買進,19.9,2015/04/29,賣出,19.15,60,-0.043551,最大持有 60 期
五鼎,1733.TW,9,2015/01/23,買進,54,2015/04/29,賣出,54,60,-0.006002,最大持有 60 期
友訊,2332.TW,10,2015/01/23,買進,18.4,2015/04/29,賣出,16.3,60,-0.119474,最大持有 60 期
盟立,2464.TW,10,2015/01/23,買進,28.55,2015/04/29,賣出,30,60,0.044493,最大持有 60 期
皇翔,2545.TW,10,2015/01/23,買進,46.2,2015/04/29,賣出,44.1,60,-0.051211,最大持有 60 期
華固,2548.TW,10,2015/01/23,買進,60.8,2015/04/29,賣出,70.2,60,0.14763,最大持有 60 期
神基,3005.TW,7,2015/01/23,買進,19.3,2015/04/29,賣出,18.7,60,-0.036931,最大持有 60 期
台灣大,3045.TW,14,2015/01/23,買進,108,2015/04/29,賣出,108.5,60,-0.001389,最大持有 60 期
同亨,5490.TW,10,2015/01/23,買進,57.2,2015/04/29,賣出,69.8,60,0.21293,最大持有 60 期
豐藝,6189.TW,1,2015/01/23,買進,36.4,2015/04/29,賣出,38.75,60,0.058165,最大持有 60 期
普萊德,6263.TW,10,2015/01/23,買進,46.9,2015/04/29,賣出,51.8,60,0.097868,最大持有 60 期
宏正,6277.TW,6,2015/01/23,買進,83,2015/04/29,賣出,90,60,0.077821,最大持有 60 期
胡連,6279.TW,5,2015/01/23,買進,114.5,2015/04/29,賣出,156.5,60,0.358606,最大持有 60 期
勤美,1532.TW,11,2015/01/26,買進,33.1,2015/04/30,賣出,32,60,-0.039082,最大持有 60 期
中宇,1535.TW,2,2015/01/26,買進,68.5,2015/04/30,賣出,76.8,60,0.114421,最大持有 60 期
中華化,1727.TW,4,2015/01/26,買進,18.9,2015/04/30,賣出,19.75,60,0.038762,最大持有 60 期
五鼎,1733.TW,10,2015/01/26,買進,53.8,2015/04/30,賣出,54.5,60,0.006914,最大持有 60 期
友訊,2332.TW,11,2015/01/26,買進,18.15,2015/04/30,賣出,15.9,60,-0.129222,最大持有 60 期
