商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,訊息
國票金,2889.TW,1,2015/10/12,買進,8.2,2016/01/05,賣出,7.31,60,-0.112101,最大持有 60 期
益登,3048.TW,2,2015/10/12,買進,21.6,2016/01/05,賣出,18.2,60,-0.160755,最大持有 60 期
安勤,3479.TW,1,2015/10/12,買進,42.8,2016/01/05,賣出,61.0,60,0.419518,最大持有 60 期
凡甲,3526.TW,1,2015/10/12,買進,22.95,2016/01/05,賣出,21.6,60,-0.062644,最大持有 60 期
東友,5438.TW,1,2015/10/12,買進,11.9,2016/01/05,賣出,12.9,60,0.07972,最大持有 60 期
良維,6290.TW,1,2015/10/12,買進,26.0,2016/01/05,賣出,28.15,60,0.078336,最大持有 60 期
英業達,2356.TW,1,2015/10/13,買進,17.55,2016/01/06,賣出,21.0,60,0.191872,最大持有 60 期
微星,2377.TW,1,2015/10/13,買進,30.2,2016/01/06,賣出,46.6,60,0.536839,最大持有 60 期
美律,2439.TW,1,2015/10/13,買進,54.3,2016/01/06,賣出,58.0,60,0.064008,最大持有 60 期
大聯大,3702.TW,1,2015/10/13,買進,33.7,2016/01/06,賣出,30.85,60,-0.088222,最大持有 60 期
邁達特,6112.TW,1,2015/10/13,買進,27.6,2016/01/06,賣出,26.05,60,-0.059931,最大持有 60 期
藍天,2362.TW,1,2015/10/14,買進,36.7,2016/01/07,賣出,29.85,60,-0.18986,最大持有 60 期
瑞昱,2379.TW,1,2015/10/14,買進,66.6,2016/01/07,賣出,74.2,60,0.109675,最大持有 60 期
潤泰新,9945.TW,1,2015/10/15,買進,39.2,2016/01/08,賣出,39.05,60,-0.007825,最大持有 60 期
華票,2820.TW,2,2015/10/16,買進,11.35,2016/01/11,賣出,11.35,60,-0.004014,最大持有 60 期
鼎天,3306.TW,1,2015/10/16,買進,26.8,2016/01/11,賣出,23.0,60,-0.145253,最大持有 60 期
仁寶,2324.TW,1,2015/10/19,買進,20.65,2016/01/12,賣出,17.9,60,-0.136632,最大持有 60 期
互盛電,2433.TW,2,2015/10/19,買進,45.65,2016/01/12,賣出,42.6,60,-0.070538,最大持有 60 期
盟立,2464.TW,2,2015/10/19,買進,28.2,2016/01/12,賣出,33.95,60,0.199077,最大持有 60 期
瑞軒,2489.TW,2,2015/10/19,買進,16.25,2016/01/12,賣出,15.5,60,-0.049965,最大持有 60 期
